,type,title,release_year,api_url,target_url,audience_score,tomato_score
7046,Movie,I Fine... Thank You... Love You,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=I+Fine...+Thank+You...+Love+You,Not found on RT,-2,-2
7047,Movie,"I, Daniel Blake",2016,"https://www.rottentomatoes.com/api/private/v2.0/search?q=I,+Daniel+Blake",https://www.rottentomatoes.com/m/i_daniel_blake,85,92
7048,Movie,I'll See You in My Dreams,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=I'll+See+You+in+My+Dreams,https://www.rottentomatoes.com/m/ill_see_you_in_my_dreams_1951,64,67
7049,Movie,I'm in Love with a Church Girl,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=I'm+in+Love+with+a+Church+Girl,https://www.rottentomatoes.com/m/im_in_love_with_a_church_girl,63,10
7050,TV Show,I'm Sorry,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=I'm+Sorry,https://www.rottentomatoes.com/tv/i_m_sorry,83,75
7051,Movie,Ice Guardians,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ice+Guardians,https://www.rottentomatoes.com/m/ice_guardians_2016,87,100
7052,Movie,Iceman,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Iceman,https://www.rottentomatoes.com/m/iceman_2019,67,83
7053,Movie,Ideachi Kalpana,2010,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ideachi+Kalpana,Not found on RT,-2,-2
7054,TV Show,Idiotest,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Idiotest,Not found on RT,-2,-2
7055,Movie,Igor,2008,https://www.rottentomatoes.com/api/private/v2.0/search?q=Igor,https://www.rottentomatoes.com/m/10009636-igor,38,39
7056,Movie,Iliza Shlesinger: War Paint,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Iliza+Shlesinger:+War+Paint,https://www.rottentomatoes.com/m/iliza_shlesinger_war_paint,88,-1
7057,Movie,Imagine That,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=Imagine+That,https://www.rottentomatoes.com/m/1190964-imagine_that,40,41
7058,Movie,Immoral Tales,1974,https://www.rottentomatoes.com/api/private/v2.0/search?q=Immoral+Tales,https://www.rottentomatoes.com/m/immoral_tales,40,60
7059,TV Show,In Between,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=In+Between,https://www.rottentomatoes.com/tv/the_time_in_between/s01,-2,-2
7060,Movie,In Search of Fellini,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=In+Search+of+Fellini,https://www.rottentomatoes.com/m/in_search_of_fellini,72,89
7061,Movie,In The Deep,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=In+The+Deep,https://www.rottentomatoes.com/m/1092437-in_too_deep,75,39
7062,Movie,Incir Receli 2,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Incir+Receli+2,https://www.rottentomatoes.com/m/incir_receli_2,-1,-1
7063,Movie,Incoming,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=Incoming,https://www.rottentomatoes.com/m/incoming,3,-1
7064,Movie,Incomplete,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Incomplete,https://www.rottentomatoes.com/m/incomplete_2017,-1,-1
7065,Movie,Inconceivable,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inconceivable,https://www.rottentomatoes.com/m/inconceivable_2017,60,36
7066,Movie,Incorruptible,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=Incorruptible,https://www.rottentomatoes.com/m/incorruptible,-1,-1
7067,Movie,Incredibles 2 (Spanish Version),2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Incredibles+2+(Spanish+Version),Not found on RT,-2,-2
7068,Movie,INDIA,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=INDIA,https://www.rottentomatoes.com/m/indian_in_the_cupboard,41,71
7069,TV Show,India: Nature's Wonderland,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=India:+Nature's+Wonderland,Not found on RT,-2,-2
7070,Movie,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://www.rottentomatoes.com/api/private/v2.0/search?q=Indiana+Jones+and+the+Kingdom+of+the+Crystal+Skull,https://www.rottentomatoes.com/m/indiana_jones_and_the_kingdom_of_the_crystal_skull,53,78
7071,Movie,Indiana Jones and the Last Crusade,1989,https://www.rottentomatoes.com/api/private/v2.0/search?q=Indiana+Jones+and+the+Last+Crusade,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade,94,88
7072,Movie,Indiana Jones and the Raiders of the Lost Ark,1981,https://www.rottentomatoes.com/api/private/v2.0/search?q=Indiana+Jones+and+the+Raiders+of+the+Lost+Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,96,96
7073,Movie,Indiana Jones and the Temple of Doom,1984,https://www.rottentomatoes.com/api/private/v2.0/search?q=Indiana+Jones+and+the+Temple+of+Doom,https://www.rottentomatoes.com/m/indiana_jones_and_the_temple_of_doom,81,83
7074,Movie,Indiscretion,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Indiscretion,https://www.rottentomatoes.com/m/indiscretion_2016,32,-1
7075,Movie,Inequality for All,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inequality+for+All,https://www.rottentomatoes.com/m/inequality_for_all_2013,88,90
7076,Movie,Influx,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Influx,https://www.rottentomatoes.com/m/black_conflux,-1,100
7077,Movie,Inglourious Basterds,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inglourious+Basterds,https://www.rottentomatoes.com/m/inglourious_basterds,88,89
7078,Movie,Inkheart,2008,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inkheart,https://www.rottentomatoes.com/m/inkheart,45,38
7079,Movie,Insan,2005,https://www.rottentomatoes.com/api/private/v2.0/search?q=Insan,https://www.rottentomatoes.com/m/insan,40,-1
7080,TV Show,Inside The Freemasons,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inside+The+Freemasons,Not found on RT,-2,-2
7081,TV Show,Inside the Mind of a Serial Killer,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inside+the+Mind+of+a+Serial+Killer,https://www.rottentomatoes.com/tv/inside_the_mind_of_a_serial_killer,-1,-1
7082,TV Show,Inside the Mossad,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inside+the+Mossad,Not found on RT,-2,-2
7083,TV Show,Inst@famous,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Inst@famous,Not found on RT,-2,-2
