Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1856010,2022-01-01,2022-01-01,,House of Cards,https://www.imdb.com/title/tt1856010/,tvSeries,8.7,51,2013,Drama,504359,2013-02-01,
2,tt2309295,2022-01-01,2022-01-01,,Hemlock Grove,https://www.imdb.com/title/tt2309295/,tvSeries,7.0,46,2013,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",40669,2013-04-18,
3,tt2372162,2022-01-01,2022-01-01,,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,tvSeries,8.1,59,2013,"Comedy, Crime, Drama",302725,2013-07-11,
4,tt2189461,2022-01-01,2022-01-01,,Marco Polo,https://www.imdb.com/title/tt2189461/,tvSeries,8.0,60,2014,"Action, Adventure, Drama, History",73258,2014-12-12,
5,tt3520702,2022-01-01,2022-01-01,,Bloodline,https://www.imdb.com/title/tt3520702/,tvSeries,7.9,60,2015,"Drama, Thriller",53047,2015-02-09,
6,tt3322312,2022-01-01,2022-01-01,,Daredevil,https://www.imdb.com/title/tt3322312/,tvSeries,8.6,54,2015,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",440501,2015-04-02,
7,tt2431438,2022-01-01,2022-01-01,,Sense8,https://www.imdb.com/title/tt2431438/,tvSeries,8.2,60,2015,"Drama, Mystery, Sci-Fi, Thriller",154910,2015-06-05,
8,tt2707408,2022-01-01,2022-01-01,,Narcos,https://www.imdb.com/title/tt2707408/,tvSeries,8.8,49,2015,"Biography, Crime, Drama, Thriller",421532,2015-08-28,
9,tt2357547,2022-01-01,2022-01-01,,Jessica Jones,https://www.imdb.com/title/tt2357547/,tvSeries,7.9,56,2015,"Action, Crime, Drama, Sci-Fi, Thriller",215045,2015-10-10,
10,tt4592410,2022-01-01,2022-01-01,,The Get Down,https://www.imdb.com/title/tt4592410/,tvSeries,8.2,52,2016,"Drama, Music, Musical",22721,2016-08-12,
11,tt3322314,2022-01-01,2022-01-01,,Luke Cage,https://www.imdb.com/title/tt3322314/,tvSeries,7.3,55,2016,"Action, Crime, Drama, Sci-Fi, Thriller",131738,2016-09-28,
12,tt4635282,2022-01-01,2022-01-01,,The OA,https://www.imdb.com/title/tt4635282/,tvSeries,7.8,60,2016,"Drama, Fantasy, Mystery, Sci-Fi",105334,2016-12-16,
13,tt4834206,2022-01-01,2022-01-01,,A Series of Unfortunate Events,https://www.imdb.com/title/tt4834206/,tvSeries,7.8,50,2017,"Adventure, Comedy, Drama, Family, Mystery",61366,2017-01-11,
14,tt3322310,2022-01-01,2022-01-01,,Iron Fist,https://www.imdb.com/title/tt3322310/,tvSeries,6.4,55,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",131630,2017-03-15,
15,tt1837492,2022-01-01,2022-01-01,,13 Reasons Why,https://www.imdb.com/title/tt1837492/,tvSeries,7.5,60,2017,"Drama, Mystery, Thriller",292618,2017-03-31,
16,tt6928052,2022-01-01,2022-01-01,,Free Rein,https://www.imdb.com/title/tt6928052/,tvSeries,7.2,26,2017,"Action, Adventure, Comedy, Drama, Family, Mystery",2189,2017-06-22,
17,tt5503718,2022-01-01,2022-01-01,,Gypsy,https://www.imdb.com/title/tt5503718/,tvSeries,6.8,51,2017,"Drama, Thriller",17168,2017-06-30,
18,tt6076336,2022-01-01,2022-01-01,,Greenhouse Academy,https://www.imdb.com/title/tt6076336/,tvSeries,6.6,25,2017,Drama,6318,2017-09-08,
19,tt5290382,2022-01-01,2022-01-01,,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60,2017,"Crime, Drama, Mystery, Thriller",288230,2017-10-13,
20,tt5675620,2022-01-01,2022-01-01,,The Punisher,https://www.imdb.com/title/tt5675620/,tvSeries,8.5,53,2017,"Action, Crime, Drama, Thriller",236229,2017-11-06,
21,tt2261227,2022-01-01,2022-01-01,,Altered Carbon,https://www.imdb.com/title/tt2261227/,tvSeries,7.9,60,2018,"Action, Drama, Sci-Fi",170468,2018-01-11,
22,tt6297682,2022-01-01,2022-01-01,,Seven Seconds,https://www.imdb.com/title/tt6297682/,tvMiniSeries,7.7,60,2018,"Crime, Drama",16920,2018-02-23,
23,tt5232792,2022-01-01,2022-01-01,,Lost in Space,https://www.imdb.com/title/tt5232792/,tvSeries,7.3,60,2018,"Adventure, Drama, Family, Mystery, Sci-Fi",99913,2018-04-13,
24,tt7692572,2022-01-01,2022-01-01,,Ponysitters Club,https://www.imdb.com/title/tt7692572/,tvSeries,7.1,22,2017,Family,120,2018-08-10,
25,tt8021824,2022-01-01,2022-01-01,,The Innocents,https://www.imdb.com/title/tt8021824/,tvSeries,6.2,60,2018,"Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",5923,2018-08-24,
26,tt7569592,2022-01-01,2022-01-01,,Chilling Adventures of Sabrina,https://www.imdb.com/title/tt7569592/,tvSeries,7.4,60,2018,"Drama, Fantasy, Horror, Mystery, Thriller",95595,2018-10-05,
27,tt8714904,2022-01-01,2022-01-01,,Narcos: México,https://www.imdb.com/title/tt8714904/,tvSeries,8.4,50,2018,"Crime, Drama",84395,2018-11-16,
28,tt6898970,2022-01-01,2022-01-01,,Tidelands,https://www.imdb.com/title/tt6898970/,tvSeries,6.8,60,2018,"Crime, Drama, Fantasy",8129,2018-12-14,
29,tt8295472,2022-01-01,2022-01-01,,The Order,https://www.imdb.com/title/tt8295472/,tvSeries,6.7,60,2019,"Drama, Fantasy, Horror",29250,2019-03-07,
30,tt7949204,2022-01-01,2022-01-01,,Chambers,https://www.imdb.com/title/tt7949204/,tvSeries,6.4,60,2019,"Drama, Fantasy, Horror, Mystery, Thriller",8698,2019-04-26,
31,tt8778064,2022-01-01,2022-01-01,,The Society,https://www.imdb.com/title/tt8778064/,tvSeries,7.1,58,2019,"Drama, Mystery, Sci-Fi, Thriller",30692,2019-05-10,
32,tt8860450,2022-01-01,2022-01-01,,What/If,https://www.imdb.com/title/tt8860450/,tvMiniSeries,6.3,55,2019,"Drama, Thriller",15662,2019-05-24,
33,tt9134194,2022-01-01,2022-01-01,,Trinkets,https://www.imdb.com/title/tt9134194/,tvSeries,7.1,30,2019,"Comedy, Crime, Drama, Mystery",11595,2019-06-14,
34,tt8652642,2022-01-01,2022-01-01,,Wu Assassins,https://www.imdb.com/title/tt8652642/,tvSeries,6.4,44,2019,"Action, Crime, Drama, Fantasy",13310,2019-08-08,
35,tt6905542,2022-01-01,2022-01-01,,The Dark Crystal: Age of Resistance,https://www.imdb.com/title/tt6905542/,tvSeries,8.4,60,2019,"Animation, Adventure, Drama, Family, Fantasy",25110,2019-07-19,
36,tt9348692,2022-01-01,2022-01-01,,Criminal: UK,https://www.imdb.com/title/tt9348692/,tvSeries,7.6,43,2019,"Crime, Drama, Mystery, Thriller",19010,2019-09-20,
37,tt8509922,2022-01-01,2022-01-01,,Dolly Parton's Heartstrings,https://www.imdb.com/title/tt8509922/,tvSeries,7.6,62,2019,"Comedy, Drama, Music, Musical",2240,2019-11-20,
38,tt7403736,2022-01-01,2022-01-01,,V-Wars,https://www.imdb.com/title/tt7403736/,tvSeries,6.0,60,2019,"Drama, Horror, Sci-Fi",14128,2019-12-05,
39,tt7913450,2022-01-01,2022-01-01,,Soundtrack,https://www.imdb.com/title/tt7913450/,tvSeries,6.8,56,2019,"Drama, Musical",2152,2019-12-18,
40,tt7671598,2022-01-01,2022-01-01,,Messiah,https://www.imdb.com/title/tt7671598/,tvSeries,7.6,43,2020,"Drama, Mystery, Thriller",43552,2020-01-01,
41,tt9117054,2022-01-01,2022-01-01,,Spinning Out,https://www.imdb.com/title/tt9117054/,tvSeries,7.6,48,2020,"Drama, Sport",14934,2020-01-01,
42,tt8826128,2022-01-01,2022-01-01,,October Faction,https://www.imdb.com/title/tt8826128/,tvSeries,6.2,39,2020,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",11384,2020-01-23,
43,tt9698480,2022-01-01,2022-01-01,,The Stranger,https://www.imdb.com/title/tt9698480/,tvMiniSeries,7.3,363,2020,"Crime, Drama, Mystery, Thriller",51137,2020-01-30,
44,tt9426290,2022-01-01,2022-01-01,,Queen Sono,https://www.imdb.com/title/tt9426290/,tvSeries,6.0,43,2020,"Action, Crime, Drama, Thriller",1274,2020-02-18,
45,tt8741648,2022-01-01,2022-01-01,,The Letter for the King,https://www.imdb.com/title/tt8741648/,tvSeries,6.0,,2020,"Action, Adventure, Family, Fantasy",7698,2020-03-20,
46,tt8403664,2022-01-01,2022-01-01,,The English Game,https://www.imdb.com/title/tt8403664/,tvMiniSeries,7.6,281,2020,"Drama, History, Sport",15189,2020-03-20,
47,tt9827854,2022-01-01,2022-01-01,,Hollywood,https://www.imdb.com/title/tt9827854/,tvMiniSeries,7.5,347,2020,"Drama, History",37226,2020-02-23,
48,tt9073958,2022-01-01,2022-01-01,,White Lines,https://www.imdb.com/title/tt9073958/,tvSeries,6.6,60,2020,"Crime, Drama, Mystery, Thriller",17221,2020-05-15,
49,tt12574336,2022-01-01,2022-01-01,,Homemade,https://www.imdb.com/title/tt12574336/,tvSeries,6.1,138,2020,Drama,826,2020-06-30,
50,tt8210856,2022-01-01,2022-01-01,,Cursed,https://www.imdb.com/title/tt8210856/,tvSeries,5.9,60,2020,"Adventure, Drama, Fantasy",30612,2020-07-17,
51,tt8787802,2022-01-01,2022-01-01,,Away,https://www.imdb.com/title/tt8787802/,tvSeries,6.6,50,2020,"Drama, Romance, Sci-Fi",24309,2020-09-04,
52,tt12313074,2022-01-01,2022-01-01,,Social Distance,https://www.imdb.com/title/tt12313074/,tvSeries,5.9,,2020,"Comedy, Drama",679,2020-10-15,
53,tt10473150,2022-01-01,2022-01-01,,Grand Army,https://www.imdb.com/title/tt10473150/,tvSeries,7.5,,2020,Drama,7429,2020-10-16,
54,tt1758589,2022-01-01,2022-01-01,,Dash & Lily,https://www.imdb.com/title/tt1758589/,tvSeries,7.4,,2020,"Comedy, Drama, Romance",19002,2020-11-10,
55,tt9421868,2022-01-01,2022-01-01,,Selena: The Series,https://www.imdb.com/title/tt9421868/,tvSeries,6.9,40,2020,"Biography, Drama, Music",4630,2020-12-04,
56,tt10767748,2022-01-01,2022-01-01,,Tiny Pretty Things,https://www.imdb.com/title/tt10767748/,tvSeries,5.9,60,2020,"Drama, Mystery, Thriller",9528,2020-12-14,
57,tt12083014,2022-01-01,2022-01-01,,Zero Chill,https://www.imdb.com/title/tt12083014/,tvSeries,5.7,35,2021,"Comedy, Drama, Family, Sport",1500,2021-03-15,
58,tt10893694,2022-01-01,2022-01-01,,The Irregulars,https://www.imdb.com/title/tt10893694/,tvSeries,6.0,,2021,"Crime, Drama, Fantasy, Mystery",15472,2021-03-25,
59,tt5774002,2022-01-01,2022-01-01,,Jupiter's Legacy,https://www.imdb.com/title/tt5774002/,tvSeries,6.7,56,2021,"Action, Adventure, Drama, Fantasy, Sci-Fi",38817,2021-05-07,
60,tt9073940,2022-01-01,2022-01-01,,Hit and Run,https://www.imdb.com/title/tt9073940/,tvSeries,7.0,,2021,"Action, Crime, Drama, Mystery, Thriller",9115,2021-08-06,
61,tt1267295,2022-01-01,2022-01-01,,Cowboy Bebop,https://www.imdb.com/title/tt1267295/,tvSeries,6.7,58,2021,"Action, Adventure, Comedy, Crime, Drama, Sci-Fi",40081,2021-11-19,
62,tt4160920,2022-01-01,2022-01-01,,Richie Rich,https://www.imdb.com/title/tt4160920/,tvSeries,3.1,22,2015,Comedy,1125,2015-02-20,
63,tt3339966,2022-01-01,2022-01-01,,Unbreakable Kimmy Schmidt,https://www.imdb.com/title/tt3339966/,tvSeries,7.6,30,2015,Comedy,72786,2015-03-06,
64,tt4341500,2022-01-01,2022-01-01,,Wet Hot American Summer: First Day of Camp,https://www.imdb.com/title/tt4341500/,tvMiniSeries,7.3,30,2015,Comedy,24199,2015-07-31,
65,tt4861760,2022-01-01,2022-01-01,,Project Mc²,https://www.imdb.com/title/tt4861760/,tvSeries,6.0,26,2015,Family,1087,2015-08-07,
66,tt4574708,2022-01-01,2022-01-01,,W/ Bob and David,https://www.imdb.com/title/tt4574708/,tvSeries,7.3,30,2015,Comedy,4394,2015-11-13,
67,tt4061080,2022-01-01,2022-01-01,,Love,https://www.imdb.com/title/tt4061080/,tvSeries,7.7,50,2016,"Comedy, Drama, Romance",43104,2016-02-19,
68,tt3986586,2022-01-01,2022-01-01,,Fuller House,https://www.imdb.com/title/tt3986586/,tvSeries,6.7,30,2016,"Comedy, Family",27867,2016-02-26,
69,tt4973548,2022-01-01,2022-01-01,,Flaked,https://www.imdb.com/title/tt4973548/,tvSeries,7.2,30,2016,"Comedy, Drama, Romance",11647,2016-03-11,
70,tt5228026,2022-01-01,2022-01-01,,The Characters,https://www.imdb.com/title/tt5228026/,tvSeries,5.3,30,2016,Comedy,890,2016-03-11,
71,tt4998212,2022-01-01,2022-01-01,,The Ranch,https://www.imdb.com/title/tt4998212/,tvSeries,7.5,30,2016,"Comedy, Drama, Western",39268,2016-04-01,
72,tt4789300,2022-01-01,2022-01-01,,Lady Dynamite,https://www.imdb.com/title/tt4789300/,tvSeries,7.3,30,2016,Comedy,3770,2016-05-20,
73,tt5562056,2022-01-01,2022-01-01,,Easy,https://www.imdb.com/title/tt5562056/,tvSeries,6.9,30,2016,Comedy,13972,2016-09-22,
74,tt5467814,2022-01-01,2022-01-01,,Haters Back Off!,https://www.imdb.com/title/tt5467814/,tvSeries,6.0,30,2016,"Comedy, Drama, Family, Romance",7384,2016-10-14,
75,tt5937754,2022-01-01,2022-01-01,,Trailer Park Boys: Out of the Park,https://www.imdb.com/title/tt5937754/,tvSeries,7.0,30,2016,"Adventure, Comedy, Crime, Drama",2419,2016-10-28,
76,tt5339440,2022-01-01,2022-01-01,,One Day at a Time,https://www.imdb.com/title/tt5339440/,tvSeries,8.2,30,2017,"Comedy, Drama",16713,2017-01-06,
77,tt5580540,2022-01-01,2022-01-01,,Santa Clarita Diet,https://www.imdb.com/title/tt5580540/,tvSeries,7.8,30,2017,"Comedy, Horror",68674,2017-01-20,
78,tt5706996,2022-01-01,2022-01-01,,Girlboss,https://www.imdb.com/title/tt5706996/,tvSeries,7.0,26,2017,Comedy,18319,2017-04-21,
79,tt5707802,2022-01-01,2022-01-01,,Dear White People,https://www.imdb.com/title/tt5707802/,tvSeries,6.3,30,2017,"Comedy, Drama",25539,2017-04-28,
80,tt5770786,2022-01-01,2022-01-01,,GLOW,https://www.imdb.com/title/tt5770786/,tvSeries,8.0,35,2017,"Comedy, Drama, Sport",46931,2017-04-26,
81,tt5565334,2022-01-01,2022-01-01,,Friends from College,https://www.imdb.com/title/tt5565334/,tvSeries,6.9,30,2017,"Comedy, Drama",21292,2017-07-14,
82,tt6315640,2022-01-01,2022-01-01,,Atypical,https://www.imdb.com/title/tt6315640/,tvSeries,8.3,30,2017,"Comedy, Drama",89281,2017-08-11,
83,tt5884792,2022-01-01,2022-01-01,,Disjointed,https://www.imdb.com/title/tt5884792/,tvSeries,6.7,30,2017,Comedy,10468,2017-08-25,
84,tt6877772,2022-01-01,2022-01-01,,American Vandal,https://www.imdb.com/title/tt6877772/,tvSeries,8.1,34,2017,"Comedy, Crime, Drama, Mystery",31108,2017-09-05,
85,tt3713588,2022-01-01,2022-01-01,,She's Gotta Have It,https://www.imdb.com/title/tt3713588/,tvSeries,6.9,30,2017,Comedy,4789,2017-11-23,
86,tt7078710,2022-01-01,2022-01-01,,Everything Sucks!,https://www.imdb.com/title/tt7078710/,tvSeries,7.5,30,2018,"Comedy, Drama",20303,2018-01-31,
87,tt7879820,2022-01-01,2022-01-01,,On My Block,https://www.imdb.com/title/tt7879820/,tvSeries,7.9,30,2018,"Comedy, Drama",16824,2018-03-16,
88,tt6916746,2022-01-01,2022-01-01,,Alexa & Katie,https://www.imdb.com/title/tt6916746/,tvSeries,7.5,25,2018,"Comedy, Drama",5176,2018-03-23,
89,tt7661368,2022-01-01,2022-01-01,,All About The Washingtons,https://www.imdb.com/title/tt7661368/,tvSeries,4.7,25,2018,"Comedy, Music",744,2018-08-10,
90,tt6487482,2022-01-01,2022-01-01,,Insatiable,https://www.imdb.com/title/tt6487482/,tvSeries,6.5,45,2018,"Comedy, Drama, Thriller",29071,2018-08-10,
91,tt7183074,2022-01-01,2022-01-01,,The Good Cop,https://www.imdb.com/title/tt7183074/,tvSeries,7.0,60,2018,"Comedy, Crime, Drama",5918,2018-09-21,
92,tt7768010,2022-01-01,2022-01-01,,Best. Worst. Weekend. Ever.,https://www.imdb.com/title/tt7768010/,tvMiniSeries,6.3,191,2018,"Comedy, Family",318,2018-10-19,
93,tt8001718,2022-01-01,2022-01-01,,Prince of Peoria,https://www.imdb.com/title/tt8001718/,tvSeries,6.1,25,2018,"Comedy, Family",509,2018-11-16,
94,tt7255502,2022-01-01,2022-01-01,,The Kominsky Method,https://www.imdb.com/title/tt7255502/,tvSeries,8.2,30,2018,"Comedy, Drama",40188,2018-11-10,
95,tt8304498,2022-01-01,2022-01-01,,Turn Up Charlie,https://www.imdb.com/title/tt8304498/,tvSeries,7.1,30,2019,"Comedy, Music",7596,2019-03-15,
96,tt8009602,2022-01-01,2022-01-01,,Huge in France,https://www.imdb.com/title/tt8009602/,tvSeries,6.8,30,2019,Comedy,2899,2019-04-12,
97,tt9039142,2022-01-01,2022-01-01,,No Good Nick,https://www.imdb.com/title/tt9039142/,tvSeries,6.0,30,2019,"Comedy, Drama, Family",3092,2019-04-15,
98,tt8164794,2022-01-01,2022-01-01,,Lunatics,https://www.imdb.com/title/tt8164794/,tvMiniSeries,6.6,35,2019,Comedy,3270,2019-04-19,
99,tt7718088,2022-01-01,2022-01-01,,Bonding,https://www.imdb.com/title/tt7718088/,tvSeries,7.1,17,2018,"Comedy, Drama",16562,2018-04-30,
100,tt10186846,2022-01-01,2022-01-01,,It's Bruno!,https://www.imdb.com/title/tt10186846/,tvSeries,7.5,15,2019,Comedy,2999,2019-05-17,
101,tt9098432,2022-01-01,2022-01-01,,Malibu Rescue,https://www.imdb.com/title/tt9098432/,tvSeries,5.6,,2019,"Action, Comedy, Family",1031,2019-01-09,
102,tt8403536,2022-01-01,2022-01-01,,Mr. Iglesias,https://www.imdb.com/title/tt8403536/,tvSeries,7.1,30,2019,Comedy,7155,2019-06-21,
103,tt9717424,2022-01-01,2022-01-01,,Team Kaylie,https://www.imdb.com/title/tt9717424/,tvSeries,4.5,,2019,Comedy,368,2019-09-22,
104,tt7971476,2022-01-01,2022-01-01,,The Politician,https://www.imdb.com/title/tt7971476/,tvSeries,7.5,42,2019,"Comedy, Drama",22863,2019-09-27,
105,tt8880894,2022-01-01,2022-01-01,,Living with Yourself,https://www.imdb.com/title/tt8880894/,tvSeries,7.2,26,2019,"Comedy, Drama, Sci-Fi",31851,2019-10-18,
106,tt8755226,2022-01-01,2022-01-01,,Daybreak,https://www.imdb.com/title/tt8755226/,tvSeries,6.7,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",20795,2019-10-24,
107,tt9770286,2022-01-01,2022-01-01,,Merry Happy Whatever,https://www.imdb.com/title/tt9770286/,tvSeries,6.3,26,2019,Comedy,4851,2019-11-28,
108,tt10675488,2022-01-01,2022-01-01,,Astronomy Club,https://www.imdb.com/title/tt10675488/,tvSeries,6.9,20,2019,Comedy,613,2019-12-06,
109,tt8404094,2022-01-01,2022-01-01,,AJ and the Queen,https://www.imdb.com/title/tt8404094/,tvSeries,7.5,52,2020,"Adventure, Comedy, Drama",8399,2020-01-10,
110,tt9850952,2022-01-01,2022-01-01,,Medical Police,https://www.imdb.com/title/tt9850952/,tvSeries,6.0,242,2020,Comedy,4328,2020-01-10,
111,tt10540562,2022-01-01,2022-01-01,,The Healing Powers of Dude,https://www.imdb.com/title/tt10540562/,tvSeries,6.6,25,2020,"Short, Action, Adventure, Comedy, Drama, Family, Fantasy",950,2020-01-13,
112,tt12593558,2022-01-01,2022-01-01,,Ashley Garcia: Genius in Love,https://www.imdb.com/title/tt12593558/,tvSpecial,6.7,,2020,Comedy,425,2020-02-17,
113,tt9446688,2022-01-01,2022-01-01,,I Am Not Okay with This,https://www.imdb.com/title/tt9446688/,tvSeries,7.5,30,2020,"Comedy, Drama, Fantasy, Sci-Fi",62520,2020-02-26,
114,tt11092086,2022-01-01,2022-01-01,,The Iliza Shlesinger Sketch Show,https://www.imdb.com/title/tt11092086/,tvSeries,5.0,115,2020,Comedy,949,2020-04-01,
115,tt10726356,2022-01-01,2022-01-01,,The Big Show Show,https://www.imdb.com/title/tt10726356/,tvSeries,6.3,27,2020,"Comedy, Family",2493,2020-04-06,
116,tt10930958,2022-01-01,2022-01-01,,Brews Brothers,https://www.imdb.com/title/tt10930958/,tvSeries,5.1,,2020,"Comedy, Drama",1996,2020-04-10,
117,tt10311562,2022-01-01,2022-01-01,,#BlackAF,https://www.imdb.com/title/tt10311562/,tvSeries,6.8,36,2020,Comedy,4935,2020-04-17,
118,tt12800428,2022-01-01,2022-01-01,,Game On! A Comedy Crossover Event,https://www.imdb.com/title/tt12800428/,tvSeries,5.6,30,2020,"Comedy, Family",232,2020-08-10,
119,tt10584608,2022-01-01,2022-01-01,,Teenage Bounty Hunters,https://www.imdb.com/title/tt10584608/,tvSeries,7.7,50,2020,"Comedy, Crime, Drama",12271,2020-08-14,
120,tt10183988,2022-01-01,2022-01-01,,Julie and the Phantoms,https://www.imdb.com/title/tt10183988/,tvSeries,8.4,,2020,"Adventure, Comedy, Drama, Family, Fantasy, Musical",10319,2020-09-10,
121,tt9310390,2022-01-01,2022-01-01,,The Duchess,https://www.imdb.com/title/tt9310390/,tvSeries,6.7,30,2020,"Comedy, Drama",5554,2020-09-11,
122,tt10151772,2022-01-01,2022-01-01,,Sneakerheads,https://www.imdb.com/title/tt10151772/,tvSeries,6.2,,2020,Comedy,1431,2020-09-25,
123,tt13316746,2022-01-01,2022-01-01,,Aunty Donna's Big Ol' House of Fun,https://www.imdb.com/title/tt13316746/,tvSeries,7.9,20,2020,Comedy,6557,2020-11-11,
124,tt10971022,2022-01-01,2022-01-01,,The Crew,https://www.imdb.com/title/tt10971022/,tvSeries,6.5,,2021,Comedy,5761,2021-02-15,
125,tt11717394,2022-01-01,2022-01-01,,Country Comfort,https://www.imdb.com/title/tt11717394/,tvSeries,6.8,25,2021,"Comedy, Drama, Family, Music",3619,2021-03-19,
126,tt13018090,2022-01-01,2022-01-01,,Dad Stop Embarrassing Me,https://www.imdb.com/title/tt13018090/,tvSeries,4.2,25,2021,"Comedy, Family",1982,2021-04-14,
127,tt5435008,2022-01-01,2022-01-01,,Gilmore Girls: A Year in the Life,https://www.imdb.com/title/tt5435008/,tvMiniSeries,7.6,370,2016,"Comedy, Drama",39304,2016-11-10,
128,tt5669272,2022-01-01,2022-01-01,,Wet Hot American Summer: Ten Years Later,https://www.imdb.com/title/tt5669272/,tvMiniSeries,6.9,216,2017,Comedy,8859,2017-08-04,
129,tt4230076,2022-01-01,2022-01-01,,The Defenders,https://www.imdb.com/title/tt4230076/,tvMiniSeries,7.2,50,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",108386,2017-07-22,
130,tt5516154,2022-01-01,2022-01-01,,Godless,https://www.imdb.com/title/tt5516154/,tvMiniSeries,8.3,452,2017,"Action, Drama, Western",68107,2017-11-22,
131,tt5580146,2022-01-01,2022-01-01,,Maniac,https://www.imdb.com/title/tt5580146/,tvMiniSeries,7.7,386,2018,"Comedy, Drama, Sci-Fi",79060,2018-09-21,
132,tt6763664,2022-01-01,2022-01-01,,The Haunting of Hill House,https://www.imdb.com/title/tt6763664/,tvMiniSeries,8.6,572,2018,"Drama, Horror, Mystery, Thriller",244860,2018-10-07,
133,tt7137906,2022-01-01,2022-01-01,,When They See Us,https://www.imdb.com/title/tt7137906/,tvMiniSeries,8.9,296,2019,"Biography, Crime, Drama, History",121556,2019-05-31,
134,tt7087260,2022-01-01,2022-01-01,,Tales of the City,https://www.imdb.com/title/tt7087260/,tvSeries,7.4,60,2019,Drama,8258,2019-04-10,
135,tt9067020,2022-01-01,2022-01-01,,The I-Land,https://www.imdb.com/title/tt9067020/,tvMiniSeries,4.6,281,2019,"Adventure, Drama, Mystery, Sci-Fi",17875,2019-09-12,
136,tt7909970,2022-01-01,2022-01-01,,Unbelievable,https://www.imdb.com/title/tt7909970/,tvMiniSeries,8.4,385,2019,"Crime, Drama",102959,2019-09-13,
137,tt8771910,2022-01-01,2022-01-01,,Self Made: Inspired by the Life of Madam C.J. Walker,https://www.imdb.com/title/tt8771910/,tvMiniSeries,7.3,191,2020,"Biography, Drama, History",12199,2020-03-20,
138,tt9815454,2022-01-01,2022-01-01,,Unorthodox,https://www.imdb.com/title/tt9815454/,tvMiniSeries,8.0,53,2020,Drama,80793,2020-03-26,
139,tt7322210,2022-01-01,2022-01-01,,The Eddy,https://www.imdb.com/title/tt7322210/,tvMiniSeries,7.2,,2020,"Drama, Music",3004,2020-02-27,
140,tt10970552,2022-01-01,2022-01-01,,The Haunting of Bly Manor,https://www.imdb.com/title/tt10970552/,tvMiniSeries,7.3,494,2020,"Drama, Horror, Mystery, Thriller",106067,2020-10-09,
141,tt10048342,2022-01-01,2022-01-01,,The Queen's Gambit,https://www.imdb.com/title/tt10048342/,tvMiniSeries,8.6,60,2020,Drama,445811,2020-10-23,
142,tt9698442,2022-01-01,2022-01-01,,Behind Her Eyes,https://www.imdb.com/title/tt9698442/,tvMiniSeries,7.2,298,2021,"Drama, Mystery, Thriller",62570,2021-02-17,
143,tt9569546,2022-01-01,2022-01-01,,Halston,https://www.imdb.com/title/tt9569546/,tvMiniSeries,7.5,240,2021,"Biography, Drama",15347,2021-05-14,
144,tt11343600,2022-01-01,2022-01-01,,Brand New Cherry Flavor,https://www.imdb.com/title/tt11343600/,tvMiniSeries,7.1,342,2021,"Drama, Horror, Mystery, Thriller",15989,2021-08-13,
145,tt10888878,2022-01-01,2022-01-01,,Clickbait,https://www.imdb.com/title/tt10888878/,tvMiniSeries,7.2,368,2021,"Crime, Drama, Mystery, Thriller",53399,2021-08-25,
146,tt10574558,2022-01-01,2022-01-01,,Midnight Mass,https://www.imdb.com/title/tt10574558/,tvMiniSeries,7.7,450,2021,"Drama, Fantasy, Horror, Mystery",116819,2021-09-22,
147,tt11337908,2022-01-01,2022-01-01,,Maid,https://www.imdb.com/title/tt11337908/,tvMiniSeries,8.4,545,2021,Drama,82855,2021-10-01,
148,tt12624928,2022-01-01,2022-01-01,,Colin in Black & White,https://www.imdb.com/title/tt12624928/,tvMiniSeries,5.9,30,2021,"Biography, Drama, Sport",7496,2021-09-11,
149,tt13655456,2022-01-01,2022-01-01,,True Story,https://www.imdb.com/title/tt13655456/,tvMiniSeries,7.4,260,2021,"Crime, Drama, Thriller",18767,2021-11-24,
150,tt3398228,2022-01-01,2022-01-01,,BoJack Horseman,https://www.imdb.com/title/tt3398228/,tvSeries,8.8,25,2014,"Animation, Comedy, Drama",157043,2014-08-22,
151,tt4326894,2022-01-01,2022-01-01,,F Is for Family,https://www.imdb.com/title/tt4326894/,tvSeries,8.0,30,2015,"Animation, Comedy, Drama",37812,2015-12-18,
152,tt7343832,2022-01-01,2022-01-01,,Neo Yokio,https://www.imdb.com/title/tt7343832/,tvSeries,5.9,23,2017,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",3437,2017-09-22,
153,tt8912244,2022-01-01,2022-01-01,,Super Drags,https://www.imdb.com/title/tt8912244/,tvSeries,5.4,30,2018,"Animation, Comedy, Fantasy",1815,2018-11-09,
154,tt9814900,2022-01-01,2022-01-01,,Trailer Park Boys: The Animated Series,https://www.imdb.com/title/tt9814900/,tvSeries,7.5,25,2019,"Animation, Comedy",3123,2019-03-31,
